Associativity,BlockSize,CacheSize,Miss,Access,Read Miss,Read Access,Write Miss,Write Access,writeback_volume,memory_access_volume
4,32,131072,15465,6322343,10697,5666010,4768,656333,,
4,64,131072,9622,6322343,6982,5666010,2640,656333,,
4,128,131072,6670,6322343,5205,5666010,1465,656333,,
4,256,131072,5197,6322343,4344,5666010,853,656333,,
4,512,131072,4631,6322343,4112,5666010,519,656333,,
4,1024,131072,4868,6322343,4531,5666010,337,656333,,
4,2048,131072,7174,6322343,6872,5666010,302,656333,,
4,32,131072,21135,7678430,12960,6544752,8175,1133678,,
4,64,131072,12796,7678430,8497,6544752,4299,1133678,,
4,128,131072,8802,7678430,6477,6544752,2325,1133678,,
4,256,131072,6768,7678430,5448,6544752,1320,1133678,,
4,512,131072,5866,7678430,5080,6544752,786,1133678,,
4,1024,131072,6076,7678430,5561,6544752,515,1133678,,
4,2048,131072,8286,7678430,7854,6544752,432,1133678,,
4,32,131072,15465,6322343,10697,5666010,4768,656333, 55840, 494880
4,64,131072,9622,6322343,6982,5666010,2640,656333, 75712, 615808
4,128,131072,6670,6322343,5205,5666010,1465,656333, 122496, 853760
4,256,131072,5197,6322343,4344,5666010,853,656333, 240896, 1330432
4,512,131072,4631,6322343,4112,5666010,519,656333, 451072, 2371072
4,1024,131072,4868,6322343,4531,5666010,337,656333, 1124352, 4984832
4,2048,131072,7174,6322343,6872,5666010,302,656333, 3282944, 14692352
4,32,131072,21135,7678430,12960,6544752,8175,1133678, 99872, 676320
4,64,131072,12796,7678430,8497,6544752,4299,1133678, 125824, 818944
4,128,131072,8802,7678430,6477,6544752,2325,1133678, 188672, 1126656
4,256,131072,6768,7678430,5448,6544752,1320,1133678, 346624, 1732608
4,512,131072,5866,7678430,5080,6544752,786,1133678, 631808, 3003392
4,1024,131072,6076,7678430,5561,6544752,515,1133678, 1406976, 6221824
4,2048,131072,8286,7678430,7854,6544752,432,1133678, 4243456, 16969728
1,128,8192,116134,6322343,90251,5666010,25883,656333, 14796672, 14865152
4,128,8192,27114,6322343,24437,5666010,2677,656333, 862720, 3470592
4,128,8192,27114,6322343,24437,5666010,2677,656333, 862720, 3470592
1,128,8192,116134,6322343,90251,5666010,25883,656333, 14796672, 14865152
1,128,8192,116134,6322343,90251,5666010,25883,656333, 4044160, 14865152
4,128,8192,27114,6322343,24437,5666010,2677,656333, 192896, 3470592
1,128,8192,116134,6322343,90251,5666010,25883,656333, 4044160, 14865152
4,128,8192,27114,6322343,24437,5666010,2677,656333, 192896, 3470592
